Geocode,Geographic name,Sex,Data quality flag,Census Years,Note,0 to 14 years (counts),0 to 14 years (% distribution),15 to 64 years (counts),15 to 64 years (% distribution),65 years and over (counts),65 years and over (% distribution),Total (counts),Total (% distribution),Median age,   
61,Northwest Territories,Both sexes,01000,1971,1,14940,42.9,19110,54.9,755,2.2,34810,100,19.1,   
61,Northwest Territories,Both sexes,01000,1981,1,15935,34.8,28480,62.3,1325,2.9,45740,100,22,   
61,Northwest Territories,Both sexes,01000,1991,1,18900,32.8,37145,64.4,1605,2.8,57650,100,24.8,   
61,Northwest Territories,Both sexes,01000,2001, ,10110,27.1,25615,68.6,1630,4.4,37360,100,30.1,   
61,Northwest Territories,Both sexes,01000,2011, ,9010,21.7,30055,72.5,2395,5.8,41460,100,32.3,   
61,Northwest Territories,Females,01000,1921,5,1587,40.3,2244,57,108,2.7,3939,100,18.4,   
61,Northwest Territories,Females,01000,1931,4,1738,40.4,2474,57.5,92,2.1,4304,100,19.4,   
61,Northwest Territories,Females,01000,1941,4,2125,39.9,3040,57.1,163,3.1,5328,100,20.6,   
61,Northwest Territories,Females,01000,1951,3,2850,41,3911,56.3,190,2.7,6951,100,20.8,   
61,Northwest Territories,Females,01000,1961,2,4504,44.3,5426,53.3,246,2.4,10176,100,18.7,   
61,Northwest Territories,Females,01000,1971,1,7245,43.8,8925,54,360,2.2,16530,100,18.4,   
61,Northwest Territories,Females,01000,1981,1,7765,35.7,13415,61.6,605,2.8,21775,100,21.5,   
61,Northwest Territories,Females,01000,1991,1,9220,33.4,17630,63.9,740,2.7,27595,100,24.3,   
61,Northwest Territories,Females,01000,2001, ,4980,27.3,12470,68.3,790,4.3,18245,100,29.8,   
61,Northwest Territories,Females,01000,2011, ,4475,21.9,14745,72.3,1180,5.8,20400,100,32.2,   
61,Northwest Territories,Males,01000,1921,5,1565,37.2,2575,61.3,64,1.5,4204,100,21.6,   
61,Northwest Territories,Males,01000,1931,4,1861,37.1,3073,61.3,78,1.6,5012,100,22.4,   
61,Northwest Territories,Males,01000,1941,4,2210,33,4305,64.3,185,2.8,6700,100,25.4,   
61,Northwest Territories,Males,01000,1951,3,2976,32.9,5837,64.5,240,2.7,9053,100,23.5,   
61,Northwest Territories,Males,01000,1961,2,4723,36.8,7751,60.5,348,2.7,12822,100,23.1,   
61,Northwest Territories,Males,01000,1971,1,7695,42.1,10185,55.7,400,2.2,18280,100,19.8,   
61,Northwest Territories,Males,01000,1981,1,8170,34.1,15065,62.9,725,3,23965,100,22.4,   
61,Northwest Territories,Males,01000,1991,1,9675,32.2,19515,64.9,865,2.9,30055,100,25.3,   
61,Northwest Territories,Males,01000,2001, ,5130,26.8,13145,68.8,840,4.4,19115,100,30.4,   
61,Northwest Territories,Males,01000,2011, ,4535,21.5,15310,72.7,1220,5.8,21065,100,32.3,   
